	mt	wt	WW1	WD1
GRMZM2G082264	3.03466	5.67654	5.67654	3.03466
GRMZM2G123373	0.556157	1.52749	1.52749	0.556157
GRMZM2G391042	6.47204	7.22855	7.22855	6.47204
AC197387.3_FG004	34.3086	2.4239	2.4239	34.3086
GRMZM2G427369	0.0314109	0.0790484	0.0790484	0.0314109
GRMZM2G136023	0	0	0	0
GRMZM2G170522	12.416	6.74364	6.74364	12.416
GRMZM2G027499	0.234477	0.657059	0.657059	0.234477
GRMZM2G092666	0	0	0	0
GRMZM2G070523	0	0	0	0
GRMZM2G119578	0.0199163	0.286109	0.286109	0.0199163
GRMZM2G472453	2.31353	1.28405	1.28405	2.31353
GRMZM2G427790	0	0	0	0
GRMZM5G811593	1.47402	4.67869	4.67869	1.47402
GRMZM2G085378	9.44288	9.53349	9.53349	9.44288
GRMZM2G084791	15.1955	22.4726	22.4726	15.1955
GRMZM5G829103	1.90698	7.06152	7.06152	1.90698
GRMZM2G013730	0	0	0	0
GRMZM2G099328	4.64505	5.12667	5.12667	4.64505
GRMZM5G872007	0.0797682	0.0169019	0.0169019	0.0797682
GRMZM2G324297	5.43601	2.24509	2.24509	5.43601
GRMZM2G076911	11.2734	16.7292	16.7292	11.2734
GRMZM2G117100	24.72	35.5311	35.5311	24.72
GRMZM2G130425	242.77	184.27	184.27	242.77
GRMZM2G123667	10.9787	0.366122	0.366122	10.9787
GRMZM2G537291	42.2639	28.6395	28.6395	42.2639
GRMZM2G035503	2.6491	0.126514	0.126514	2.6491
GRMZM2G097739	35.0627	30.4134	30.4134	35.0627
GRMZM2G056400	0.0253556	0.606043	0.606043	0.0253556
GRMZM5G836322	29.9654	14.9301	14.9301	29.9654
GRMZM2G473111	14.77	7.73391	7.73391	14.77
GRMZM2G472903	0	0.106602	0.106602	0
GRMZM2G041352	0.24136	0.977514	0.977514	0.24136
GRMZM2G141948	6.67718	14.6762	14.6762	6.67718
GRMZM2G041039	2.1013	0	0	2.1013
EF517601.1_FGT016	282.497	642.645	642.645	282.497
GRMZM2G343767	0	0	0	0
GRMZM2G149587	0.721956	1.6057	1.6057	0.721956
GRMZM2G127924	0	0.0342582	0.0342582	0
GRMZM2G356404	35.2005	18.6447	18.6447	35.2005
GRMZM2G045977	35.7731	71.2744	71.2744	35.7731
GRMZM2G146111	32.7116	31.7669	31.7669	32.7116
GRMZM2G061396	0	0.0151737	0.0151737	0
GRMZM2G098696	48.2913	0.463071	0.463071	48.2913
GRMZM2G431291	0.0255601	0.0164067	0.0164067	0.0255601
AC188752.3_FG008	0.287899	0.298792	0.298792	0.287899
GRMZM2G075844	77.4843	53.0179	53.0179	77.4843
GRMZM2G135866	93.2737	25.0612	25.0612	93.2737
GRMZM2G107239	7.98592	7.81172	7.81172	7.98592
GRMZM2G089121	14.3908	5.78489	5.78489	14.3908
GRMZM2G062495	17.6039	8.05009	8.05009	17.6039
GRMZM2G089750	5.11166	0.0939134	0.0939134	5.11166
GRMZM2G114241	2.66086	3.23997	3.23997	2.66086
GRMZM2G140427	0.0436733	0	0	0.0436733
GRMZM2G048129	3.26152	1.38117	1.38117	3.26152
GRMZM2G154328	50.3535	29.3081	29.3081	50.3535
GRMZM2G043119	6.95575	19.3608	19.3608	6.95575
AC209784.3_FG011	2.40135	4.85897	4.85897	2.40135
GRMZM2G477697	0	0	0	0
GRMZM2G078401	11.8423	4.59544	4.59544	11.8423
